20/01/2019,2:09 pm,Messages and calls are end-to-end encrypted. No one outside of this chat,not even WhatsApp,can read or listen to them. Tap to learn more.
20/01/2019,2:09 pm,You created group "Kya mile? "
16/12/2019,9:58 pm,RED,@919891523326 harsh uss din ka debate
16/12/2019,9:58 pm,RED,the pollution in delhi XD
16/12/2019,9:58 pm,RED,dekh le brother
16/12/2019,10:33 pm,Gotiya,dekhuga bhai
16/12/2019,10:35 pm,RED,Yes
17/12/2019,12:50 pm,RED,https://www.youtube.com/watch?v=BuaOgU7XyJw
17/12/2019,12:50 pm,RED,@917503478845 Netflix dekhio isme
17/12/2019,12:50 pm,RED,bhai dekh
20/12/2019,5:41 pm,RED,https://www.youtube.com/watch?v=yzzF6kTR3iw&fbclid=IwAR3CIHp9VbnSaMiQLW3W5a-JFmOauGpgHP5pPQmjs1UNDM0y-25-atoHSFY
20/12/2019,5:41 pm,RED,@919891523326
20/12/2019,5:41 pm,RED,Banda Sixer Mar gya
20/12/2019,5:42 pm,RED,2nd year b com
20/12/2019,5:42 pm,RED,Legal Social and Finacial ASPECT
20/12/2019,5:44 pm,Gotiya,💪🏼💪🏼💪🏼
21/12/2019,5:53 pm,Tosiba,http://bit.ly/nitcgfg2019
21/12/2019,6:42 pm,Gotiya,25 ko mil lena laundo
21/12/2019,6:44 pm,Anurag,Kl milo
21/12/2019,6:44 pm,Anurag,Sunday monday
21/12/2019,6:45 pm,Gotiya,done kl
31/12/2019,12:03 pm,RED,<Media omitted>
31/12/2019,12:04 pm,Anurag,Hmm
31/12/2019,12:04 pm,Anurag,?
31/12/2019,12:04 pm,RED,Are flash player
31/12/2019,12:09 pm,Anurag,Oh acha
31/12/2019,12:09 pm,Anurag,Or bta aaj Kahan gaand maraa RHA h
31/12/2019,12:09 pm,Anurag,?
31/12/2019,12:09 pm,Anurag,Meri to night duty h aaj
31/12/2019,12:09 pm,Anurag,😓
31/12/2019,12:12 pm,RED,Sad
31/12/2019,12:12 pm,RED,M b kaam he krunga aaj
31/12/2019,12:12 pm,RED,5 jan tak
01/01/2020,7:13 am,Gotiya,happy new year yaaro!💪🏼
01/01/2020,7:46 am,Anurag,Happy New year 🎉🎉
01/01/2020,10:21 am,RED,🍰 ⋆ 🍑  🎀  𝐻𝒶𝓅𝓅𝓎 𝓃𝑒𝓌 𝓎𝑒𝒶𝓇  🎀  🍑 ⋆ 🍰
01/01/2020,12:10 pm,Tosiba,happy new year
01/01/2020,12:10 pm,Tosiba,🥳🥳
01/01/2020,12:33 pm,Gotiya,https://www.facebook.com/589832271367901/posts/1082294162121707/?sfnsn=wiwspwa&extid=SdunMqy7L2SycNXy&d=w&vh=e
01/01/2020,12:33 pm,Anurag,Kahan h harsh
01/01/2020,12:33 pm,Anurag,?
01/01/2020,12:46 pm,Gotiya,ghr bhai
01/01/2020,1:08 pm,Gotiya,ky hua bta
01/01/2020,1:18 pm,RED,सींग नहीं होते लोमड़ी के...
Happy New year भोसडीके..
01/01/2020,10:00 pm,RED,😂
17/02/2020,12:44 am,RED,Han bhyi
17/02/2020,12:45 am,Tosiba,haa launde
17/02/2020,12:45 am,RED,<Media omitted>
17/02/2020,12:45 am,RED,Dekh rha h
17/02/2020,12:45 am,RED,Launde
17/02/2020,12:45 am,Tosiba,dkh rha hu bhai
17/02/2020,12:46 am,RED,Bhai yha sab peeke lete hue h
17/02/2020,12:46 am,RED,KB ayega tu
17/02/2020,12:46 am,RED,Bhai
17/02/2020,12:46 am,RED,Missing u
17/02/2020,12:46 am,Gotiya,<Media omitted>
17/02/2020,12:47 am,RED,<Media omitted>
17/02/2020,1:02 am,Tosiba,may me aunga me to
17/02/2020,1:02 am,Tosiba,tum sahi maje lere ho yar
17/02/2020,1:08 am,RED,Fir hum sath chle ge
17/02/2020,1:08 am,RED,Mere bhI
17/02/2020,1:09 am,RED,Bhai
17/02/2020,1:09 am,Tosiba,haa bhai
17/02/2020,1:10 am,RED,Love u
17/02/2020,1:10 am,RED,Jadi a bhas
17/02/2020,1:11 am,RED,<Media omitted>
17/02/2020,1:12 am,Tosiba,haa bhai may me milenge
17/02/2020,1:12 am,RED,<Media omitted>
17/02/2020,1:19 am,Tosiba,sahi h bhai maje krre ho full
17/02/2020,1:19 am,RED,Han bahi
17/02/2020,1:20 am,Tosiba,mere to mid term h parso se
17/02/2020,1:20 am,Tosiba,apni life me to lode lage hue h bas
17/02/2020,1:20 am,RED,Koi nai bhai tu padd
17/02/2020,1:20 am,RED,May udham
17/02/2020,1:20 am,RED,Bhai lode tu dega
17/02/2020,1:20 am,RED,Soo. Dont worry
17/02/2020,1:21 am,Tosiba,dkhte h bhai
17/02/2020,1:22 am,RED,Best of luck
17/02/2020,1:29 am,Tosiba,manai me kaha kaha ghume tum?
17/02/2020,1:29 am,Tosiba,solang valley gye the ?
17/02/2020,1:31 am,RED,Han bhai aj gye the
17/02/2020,1:38 am,Tosiba,kesa tha  ?
17/02/2020,1:38 am,Tosiba,paragliding ki
17/02/2020,1:38 am,Tosiba,?
17/02/2020,6:01 am,RED,Na bhai m madarcgod ni hun no josh m aya
17/02/2020,7:35 am,RED,<Media omitted>
17/02/2020,8:33 am,Gotiya,<Media omitted>
17/02/2020,5:35 pm,Tosiba,arey bc
17/02/2020,5:35 pm,Tosiba,mera bhi aane ka mnn kr rha h salo
17/02/2020,5:36 pm,Gotiya,ooo bhai maro mujhe maro _robin this side
17/02/2020,6:13 pm,RED,Bhai aja
17/02/2020,9:24 pm,RED,Lol
14/05/2020,3:55 pm,Anurag,Abe usne hi message kia h.
14/05/2020,3:56 pm,Anurag,Or fb pe friend request bheji h.
14/05/2020,3:56 pm,Anurag,Uska no. Maine block kia hua tha ...usne behen ke no. Se msg kia h.
14/05/2020,3:57 pm,Anurag,Kya bolu isko?
14/05/2020,3:57 pm,Anurag,Subeh 1030 kiya tha msg abhi tk reply nhi ki maine
14/05/2020,3:59 pm,RED,Abhi mt kr
14/05/2020,3:59 pm,RED,Seen krde
14/05/2020,4:02 pm,Tosiba,haa mat kar
14/05/2020,4:02 pm,Tosiba,block krde use bhi
14/05/2020,4:05 pm,RED,Aur padle
14/05/2020,4:05 pm,RED,😂😂😂
14/05/2020,4:12 pm,Gotiya,bhai reply mt kr dio
14/05/2020,4:23 pm,RED,Fact ,jab tum uss ladki ko full ignore krte ho tho ladki bolti h kya ho gya ye kutta meri chat kyu nai rha..  

And then she lay a trap
14/05/2020,4:24 pm,RED,And u message her text

She ,kutta kutta hota h
14/05/2020,4:24 pm,RED,😂😂😂😂
14/05/2020,4:24 pm,RED,Hope tu ab trigger ho jaye
14/05/2020,4:42 pm,Anurag,Ok. 🤣🤣
14/05/2020,4:42 pm,Anurag,Nhi krunga.
14/05/2020,9:39 pm,RED,Gta 5 free ho gai
14/05/2020,9:39 pm,RED,Lol
14/05/2020,9:39 pm,RED,Hum kharidte he kyu h game b
14/05/2020,9:39 pm,RED,Jab free ho jati h 3 saal baad
14/05/2020,9:40 pm,RED,😂😂😂😂
14/05/2020,11:45 pm,RED,Netflix subscription loge sath m?
14/05/2020,11:45 pm,Gotiya,nhi
14/05/2020,11:45 pm,RED,Anu dekh rha mere account se 😂😂😂😂
14/05/2020,11:45 pm,RED,Money heist khatam kr dega lagta h
14/05/2020,11:45 pm,RED,😂😂😂😂
14/05/2020,11:46 pm,RED,@917503478845 tu? Lega
14/05/2020,11:46 pm,RED,Wait pm kr rha
14/05/2020,11:47 pm,Tosiba,nhi bhai torrent zindabad
14/05/2020,11:47 pm,RED,Ok
15/05/2020,10:15 am,Anurag,🤣🤣 bhai khtm h jaldi hi
15/05/2020,10:40 am,Gotiya,ab tk khtm ni kia bc🤣🤣
15/05/2020,10:40 am,Gotiya,kbse dekhra h
15/05/2020,10:43 am,Anurag,Bhai abhi hi start kia h
19/05/2020,8:07 pm,Gotiya,haan bhai @919650713357 kahan tk pohocha money hesit mei
19/05/2020,8:07 pm,Gotiya,heist*
19/05/2020,8:27 pm,Anurag,Sab khtm
12/06/2020,8:16 am,Gotiya,hello friends
12/06/2020,8:22 am,Anurag,Bhosdike
12/06/2020,8:24 am,Gotiya,😂😂😂
12/06/2020,8:24 am,Gotiya,bhai call kre aaj?
12/06/2020,8:28 am,Anurag,Ya sure
12/06/2020,8:50 am,Gotiya,baaki dono kaha mrr rhe h
12/06/2020,8:51 am,Anurag,Gaand mra rhe h kisi kone m
12/06/2020,8:52 am,Gotiya,ohh dalloo
12/06/2020,8:52 am,Gotiya,<Media omitted>
12/06/2020,8:52 am,RED,Bhai on
12/06/2020,8:52 am,RED,Ek baat btani h serious h bhot
12/06/2020,8:53 am,Gotiya,This message was deleted
12/06/2020,8:53 am,Gotiya,bta bhai
12/06/2020,8:53 am,RED,Kisi ko mat btana plz merw bhai ho tho
12/06/2020,8:53 am,Anurag,Kya tha
12/06/2020,8:53 am,RED,Sirf apne m rakhna
12/06/2020,8:53 am,Anurag,Bol
12/06/2020,8:53 am,RED,Mere papa ngo m kaam krte h
12/06/2020,8:53 am,Gotiya,and?
12/06/2020,8:53 am,RED,Na tho papa ko covid positive aya h
12/06/2020,8:53 am,RED,Mere ghr ko seal kr lia h
12/06/2020,8:54 am,Gotiya,seal kyu???
12/06/2020,8:54 am,Gotiya,jb positive hi ni h toh kyu seal kia
12/06/2020,8:54 am,RED,Positive h
12/06/2020,8:55 am,RED,Kisi ko mat btana apne m rakhna baat
12/06/2020,8:55 am,Gotiya,han han bhai
12/06/2020,8:55 am,Gotiya,ab kahan h uncle?
12/06/2020,8:55 am,RED,Andar h room m theek h
12/06/2020,8:55 am,Gotiya,dobara test kb hga?
12/06/2020,8:55 am,RED,Recover ho rhe h
12/06/2020,8:56 am,RED,Abhi roz police wala ayega
12/06/2020,8:56 am,RED,M bhot tensed hun
12/06/2020,8:56 am,Gotiya,kch ni hta bro
12/06/2020,8:56 am,Gotiya,ho jayega sb thik
12/06/2020,8:56 am,RED,Thanks
12/06/2020,8:56 am,Gotiya,dobara kb hna h tst?
12/06/2020,8:57 am,Gotiya,<Media omitted>
12/06/2020,8:57 am,RED,14 days quarantine h
12/06/2020,8:57 am,RED,Ghr ke bhar sticker laga dia h
12/06/2020,8:57 am,RED,Bhas khane peene ka tention h
12/06/2020,8:57 am,Gotiya,bhai saab😱😱
12/06/2020,8:57 am,Gotiya,khane pine ka ky?
12/06/2020,8:58 am,RED,Pine?
12/06/2020,8:58 am,Gotiya,kch chahiye toh bta de jau???
12/06/2020,8:58 am,RED,Bhai need hogi tho help kr dena
12/06/2020,8:58 am,RED,Ghr ke neeche saman chorna h bhas
12/06/2020,8:58 am,Gotiya,han han
12/06/2020,8:58 am,RED,Jab bolun
12/06/2020,8:58 am,RED,1 ya 2 din m
12/06/2020,8:59 am,RED,Agar jisko bola h vo ni kia tho
12/06/2020,8:59 am,Gotiya,koi ni bro
12/06/2020,8:59 am,Gotiya,kr denge tnsn na le
12/06/2020,9:01 am,RED,Thankyou
12/06/2020,9:01 am,RED,Bro
12/06/2020,9:01 am,Gotiya,koi ni bhai💜
12/06/2020,9:01 am,RED,Papa ka office se hua
12/06/2020,9:01 am,Gotiya,dhyan se reh
12/06/2020,9:01 am,RED,Hamne time. Se kra dia
12/06/2020,9:01 am,Gotiya,sbka dhyan rkh
12/06/2020,9:02 am,RED,Test
12/06/2020,9:03 am,RED,@919650713357 @917503478845 kisi ko mt btana bhai
12/06/2020,9:04 am,Anurag,👍🏻 sabka dhyan rkhio ghr m
12/06/2020,9:04 am,RED,Bilkul bhai
12/06/2020,9:05 am,Anurag,Ok Ghar pe bhi nhi btaunga apne.
12/06/2020,9:05 am,RED,Khi mt btaio
12/06/2020,9:05 am,Anurag,Abhi ye bta medicine kon de rha h?
12/06/2020,9:05 am,RED,Already he log itne ajeeb behave kr  rhe h
12/06/2020,9:05 am,Gotiya,iski medicine bn gyi??
12/06/2020,9:05 am,Anurag,Doctor se checkup ho rha h?
12/06/2020,9:06 am,Anurag,Abe chutad .... Prevention medicine bn gyi h
12/06/2020,9:06 am,RED,Iski medicine vhi pneumonia wali h aur vitamin c for immunity
12/06/2020,9:06 am,Anurag,Ok 👍🏻
12/06/2020,9:06 am,RED,Doctor roz ayega
12/06/2020,9:06 am,RED,Khe rhe the
12/06/2020,9:07 am,RED,Police wala roz ayega
12/06/2020,9:07 am,RED,Kal 1st day tha
12/06/2020,9:07 am,Anurag,Hn vo to ho hi rha h
12/06/2020,9:07 am,Gotiya,bhai mei commerce ka hua bc
12/06/2020,9:07 am,Gotiya,mje ni pta🤣🤣
12/06/2020,9:08 am,RED,13 days left
12/06/2020,9:09 am,Anurag,Chal koi na thik ho jayenge uncle but kisi or ko mann hone dena
12/06/2020,9:09 am,RED,Listen start throat scratch se h
12/06/2020,9:09 am,RED,Fir 3 days fever
12/06/2020,9:09 am,RED,Fir heavy breath
12/06/2020,9:09 am,Anurag,Behan mummy ka khayyal rkhio
12/06/2020,9:10 am,RED,Han vhi h unka khayal rakhna h bhas
12/06/2020,9:10 am,Anurag,Merko bhi yhi ho rha h Robin
12/06/2020,9:10 am,Anurag,Lkin merko medicine se thik lg rha h
12/06/2020,9:10 am,RED,Tiredness?
12/06/2020,9:10 am,Anurag,Hn
12/06/2020,9:10 am,RED,Sweating?
12/06/2020,9:11 am,Anurag,Bus heavy breath nhi h mujhe
12/06/2020,9:11 am,Anurag,Nhi
12/06/2020,9:11 am,RED,Fir theek h
12/06/2020,9:11 am,RED,Khyal rakho
12/06/2020,9:11 am,RED,Kisi ka kuch pata nai
12/06/2020,9:11 am,RED,Gloves phenke ghumo
12/06/2020,9:12 am,RED,Mask laga ke niklo
12/06/2020,9:12 am,Anurag,Sahi m yaar.
12/06/2020,9:12 am,RED,Aur sanitizer
12/06/2020,9:12 am,Anurag,Vo to h hi
12/06/2020,9:12 am,RED,Sath m rakho
12/06/2020,9:13 am,RED,Immune system ke lie
12/06/2020,9:13 am,RED,Vitamins lete rho
12/06/2020,11:11 am,Tosiba,tension na le Robin
12/06/2020,11:11 am,Tosiba,koi dikkt vali baat nhi h
12/06/2020,11:12 am,Tosiba,seal hone ki tension mat le
12/06/2020,11:13 am,Tosiba,bas papa ka dhyan rkh
12/06/2020,11:13 am,Tosiba,kuch din ki baat hai
12/06/2020,11:13 am,Tosiba,isolation me h lekin ghr pe to hai na
12/06/2020,11:14 am,Tosiba,aur ghr ka saman ek hi baar me mangva le jisse bhi mangvana h
12/06/2020,11:14 am,Tosiba,koi dikkt nhi hai
12/06/2020,11:14 am,Tosiba,doubt bhi h to koi nhi hai,medication chalne de
12/06/2020,11:15 am,Tosiba,nuksan kuch nhi h prevention and cure dono hi achi cheez h
12/06/2020,11:15 am,RED,Thanks
12/06/2020,11:15 am,Tosiba,logo me dhyan mat de log to madarchod h
12/06/2020,11:15 am,Tosiba,bas papa ko theek rkh
12/06/2020,11:15 am,RED,24hr delhi govt phone kr rhe h
12/06/2020,11:15 am,Tosiba,koi dikkt nhi krne de
12/06/2020,11:15 am,RED,Han papa ko theek rakh rha
12/06/2020,11:16 am,RED,Hn puchte rhete h
12/06/2020,11:16 am,RED,Kese ho etc etc
12/06/2020,11:16 am,Tosiba,haa koi nhi
12/06/2020,11:17 am,Tosiba,doctor konse hospital se h jo ataa h??
12/06/2020,11:17 am,RED,Abhi aya nai h
12/06/2020,11:17 am,RED,Kl 1st day tha
12/06/2020,11:17 am,RED,Aaj ayenge
12/06/2020,11:17 am,RED,Sanitisation and doctor
12/06/2020,11:18 am,RED,Police wala b ayega
12/06/2020,11:18 am,RED,Khe rhe the
12/06/2020,11:18 am,RED,Lets see
12/06/2020,11:18 am,RED,Bhai..... Delhi m ajkal koi bharosa ni h
12/06/2020,11:18 am,RED,100 se jada mask and gloves kharidlo
12/06/2020,11:18 am,Tosiba,haa bhai
12/06/2020,11:18 am,RED,Dalily cases bad rhe h
12/06/2020,11:19 am,Tosiba,apni safety khud hi hai
12/06/2020,11:19 am,RED,Mera abhi dikaat h ki nikal ni sakta koi ghr se so
